"2020-08-31 00:12","Soda Stereo","Trátame Suavemente - Remasterizado 2007","603"
"2020-08-31 00:16","Bersuit Vergarabat","Mi Caramelo - Live In Buenos Aires / 2001","209893"
"2020-08-31 00:21","Lágrimas De Sangre","Buen Viaje","340253"
"2020-08-31 00:24","Pappo","Juntos a la Par","161133"
"2020-08-31 00:28","Gustavo Cerati","Cactus","234760"
"2020-08-31 00:32","Serú Girán","Viernes, 3AM","238182"
"2020-08-31 18:29","The Beatles","Let It Be - Remastered 2009","243026"
"2020-08-31 18:31","The Beatles","I Me Mine - Remastered 2009","145586"
"2020-08-31 18:34","The Beatles","Get Back - Remastered 2009","189386"
"2020-08-31 18:38","The Beatles","I've Got A Feeling - Remastered 2009","217560"
"2020-08-31 18:42","The Beatles","Dig A Pony - Remastered 2009","235000"
"2020-08-31 18:46","The Beatles","Across The Universe - Remastered 2009","210031"
"2020-08-31 18:47","The Beatles","Dig A Pony - Remastered 2009","1817"
"2020-08-31 18:47","The Beatles","Across The Universe - Remastered 2009","2700"
"2020-08-31 18:48","The Beatles","Maggie Mae - Remastered 2009","40032"
"2020-08-31 18:51","The Beatles","I've Got A Feeling - Remastered 2009","217560"
"2020-08-31 18:54","The Beatles","One After 909 - Remastered 2009","173960"
"2020-08-31 18:58","The Beatles","The Long And Winding Road - Remastered 2009","218186"
"2020-08-31 19:00","The Beatles","For You Blue - Remastered 2009","152213"
"2020-08-31 19:03","The Beatles","Get Back - Remastered 2009","189386"
"2020-08-31 19:06","The Beatles","She Loves You - Mono / Remastered","140920"
"2020-08-31 19:09","George Harrison","Beautiful Girl - 2004 Mix","222077"
"2020-08-31 19:14","John Lennon","God - Remastered 2010","252773"
"2020-08-31 19:17","Badfinger","Baby Blue - Remastered 2010","44020"
"2020-08-31 19:17","The Turtles","Happy Together","176287"
"2020-08-31 20:49","The Beatles","Yesterday - Remastered 2009","125666"
"2020-08-31 20:51","The Beatles","Something - Remastered 2009","10080"
"2020-08-31 20:51","Adam Levine","Yesterday - The Voice Performance","131186"
"2020-08-31 20:53","Himesh Patel","Yesterday","87320"
"2020-08-31 20:53","Guns N' Roses","Yesterdays","7910"
"2020-08-31 20:55","The Beatles","Yesterday - Remastered 2009","125666"
"2020-08-31 20:55","Daniel Pemberton","The World Is Universal (Universal Fanfare)","17563"
"2020-08-31 20:57","The Beatles","Yesterday - Remastered 2015","125320"
"2020-08-31 20:58","Himesh Patel","Summer Song","21900"
"2020-08-31 21:01","Tomazacre","Olvidando","187549"
"2020-08-31 21:04","Bad Bunny","Dime Si Te Acuerdas","187272"
"2020-08-31 21:08","Bad Bunny","Soy Peor","257384"
"2020-08-31 21:14","KHEA","Loca - Remix","342623"
"2020-08-31 21:15","Bizarrap","Polimá Westcoast: Bzrp Music Sessions, Vol. 19","26980"
"2020-08-31 21:15","Bad Bunny","Hablamos Mañana","1990"
"2020-08-31 21:15","Bizarrap","Lit Killah: Bzrp Freestyle Sessions, Vol. 3","20710"
